BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,IMOEX,2024-04-17,Индекс МосБиржи,Индекс МосБиржи,3454.07,3469.57,3476.72,3443.07,67369551423.54,0,0,2,6094058831272.812,RUB,1764312998.5761,3,,2024-04-17,
SNDX,IMOEX,2024-04-18,Индекс МосБиржи,Индекс МосБиржи,3455.82,3451.37,3457.46,3436.95,56908603957.8,0,0,2,6097149770512.594,RUB,1764312998.5761,3,,2024-04-18,
SNDX,IMOEX,2024-04-19,Индекс МосБиржи,Индекс МосБиржи,3470.88,3458.86,3475.13,3451.48,54079516423.77,0,0,2,6123724939813.902,RUB,1764312998.5761,3,,2024-04-19,
SNDX,IMOEX,2024-04-22,Индекс МосБиржи,Индекс МосБиржи,3479.17,3468.09,3480.21,3460.58,82859286926.77,0,0,2,6138350247110.228,RUB,1764312998.5761,3,,2024-04-22,
SNDX,IMOEX,2024-04-23,Индекс МосБиржи,Индекс МосБиржи,3439.42,3483.26,3487.55,3436.83,97852906259.59,0,0,2,6068213993233.173,RUB,1764312998.5761,3,,2024-04-23,
SNDX,IMOEX,2024-04-24,Индекс МосБиржи,Индекс МосБиржи,3428.93,3438.45,3445.67,3423.17,59540956724.47,0,0,2,6049705341672.139,RUB,1764312998.5761,3,,2024-04-24,
SNDX,IMOEX,2024-04-25,Индекс МосБиржи,Индекс МосБиржи,3439.76,3429.62,3443.74,3427.02,47461288356.07,0,0,2,6068809203366.624,RUB,1764312998.5761,3,,2024-04-25,
SNDX,IMOEX,2024-04-26,Индекс МосБиржи,Индекс МосБиржи,3449.77,3446.39,3459.12,3438.06,52160044316.96,0,0,2,6086474883657.401,RUB,1764312998.5761,3,,2024-04-26,
SNDX,IMOEX,2024-04-27,Индекс МосБиржи,Индекс МосБиржи,3465.85,3453.63,3467.23,3453.4,49604766719.62,0,0,2,6114847633427.517,RUB,1764312998.5761,3,,2024-04-27,
SNDX,IMOEX,2024-04-29,Индекс МосБиржи,Индекс МосБиржи,3478.08,3468.92,3480.47,3467.25,31730535756.28,0,0,2,6136422166670.123,RUB,1764312998.5761,3,,2024-04-29,
SNDX,IMOEX,2024-04-30,Индекс МосБиржи,Индекс МосБиржи,3469.83,3481.29,3486.3,3464.86,25464035843.12,0,0,2,6121869033023.124,RUB,1764312998.5761,3,,2024-04-30,
